,P_LRMS_QUEUING,P_LRMS_RUNNING,P_LRMS_SUBMITTING,P_PMGR_QUEUING,P_PMGR_SCHEDULING,experiment,hid,ncore,nunit,pid,sid
0,318.147700071,801.330600023,46.7644999027,0.000900030136108,0.00129985809326,exp1,stampede.tacc.utexas.edu,128,128,pilot.0000,rp.session.radical.merzky.017192.0008
1,150.880800009,1101.24449992,42.6270999908,0.000999927520752,0.000900030136108,exp1,stampede.tacc.utexas.edu,256,256,pilot.0000,rp.session.radical.merzky.017192.0009
2,708.036800146,1001.12019992,39.3593997955,0.000900030136108,0.000699996948242,exp1,stampede.tacc.utexas.edu,512,512,pilot.0000,rp.session.radical.merzky.017192.0011
3,306.659699917,2302.25489998,36.8443000317,0.00119996070862,0.000999927520752,exp1,stampede.tacc.utexas.edu,1024,1024,pilot.0000,rp.session.radical.merzky.017192.0012
4,392.08949995,4169.68790007,35.6362998486,0.000900030136108,0.000600099563599,exp1,stampede.tacc.utexas.edu,2048,2048,pilot.0000,rp.session.radical.merzky.017192.0013
5,1942.95859981,6306.64289999,36.3157000542,0.000900030136108,0.000999927520752,exp1,stampede.tacc.utexas.edu,4096,4096,pilot.0000,rp.session.radical.merzky.017192.0014
6,313.556200027,800.722199917,52.6008000374,0.00129985809326,0.00110006332397,exp1,stampede.tacc.utexas.edu,256,256,pilot.0000,rp.session.radical.merzky.017213.0004
7,2496.09899998,800.579300165,39.0627000332,0.00129985809326,0.00130009651184,exp1,stampede.tacc.utexas.edu,512,512,pilot.0000,rp.session.radical.merzky.017213.0005
8,142.869400024,901.177399874,38.1112000942,0.00129985809326,0.00119996070862,exp1,stampede.tacc.utexas.edu,1024,1024,pilot.0000,rp.session.radical.merzky.017213.0006
9,559.748100042,900.757599831,34.3775999546,0.00170016288757,0.00139999389648,exp1,stampede.tacc.utexas.edu,2048,2048,pilot.0000,rp.session.radical.merzky.017214.0000
10,2285.05209994,1001.09670019,31.9502999783,0.00130009651184,0.00149989128113,exp1,stampede.tacc.utexas.edu,4096,4096,pilot.0000,rp.session.radical.merzky.017214.0001
11,477.204699993,800.989000082,49.788599968,0.00119996070862,0.00119996070862,exp1,stampede.tacc.utexas.edu,128,128,pilot.0000,rp.session.radical.merzky.017220.0008
12,140.001300097,801.316399813,47.0701999664,0.00130009651184,0.0010998249054,exp1,stampede.tacc.utexas.edu,256,256,pilot.0000,rp.session.radical.merzky.017220.0009
13,141.934100151,800.65199995,37.5771999359,0.00149989128113,0.00130009651184,exp1,stampede.tacc.utexas.edu,512,512,pilot.0000,rp.session.radical.merzky.017220.0010
14,147.820599794,922.468800068,40.8953001499,0.00149989128113,0.00139999389648,exp1,stampede.tacc.utexas.edu,1024,1024,pilot.0000,rp.session.radical.merzky.017220.0011
15,141.525900126,901.297999859,39.5376999378,0.00130009651184,0.00119996070862,exp1,stampede.tacc.utexas.edu,2048,2048,pilot.0000,rp.session.radical.merzky.017221.0000
16,136.668800116,1001.16369987,39.0544998646,0.00139999389648,0.00119996070862,exp1,stampede.tacc.utexas.edu,4096,4096,pilot.0000,rp.session.radical.merzky.017221.0001
17,148.800100088,800.512599945,46.538299799,0.00110006332397,0.000800132751465,exp1,stampede.tacc.utexas.edu,128,128,pilot.0000,rp.session.radical.merzky.017227.0000
18,138.698899984,801.174999952,34.0527000427,0.000900030136108,0.000699996948242,exp1,stampede.tacc.utexas.edu,256,256,pilot.0000,rp.session.radical.merzky.017227.0001
19,134.557699919,900.570199966,35.5357999802,0.00110006332397,0.000699996948242,exp1,stampede.tacc.utexas.edu,512,512,pilot.0000,rp.session.radical.merzky.017227.0002
20,139.484299898,901.426199913,33.670800209,0.00229978561401,0.000699996948242,exp1,stampede.tacc.utexas.edu,1024,1024,pilot.0000,rp.session.radical.merzky.017227.0003
21,141.062900066,901.441799879,36.1926000118,0.000799894332886,0.000600099563599,exp1,stampede.tacc.utexas.edu,2048,2048,pilot.0000,rp.session.radical.merzky.017227.0004
22,138.684900045,1000.69079995,36.3655998707,0.00110006332397,0.00130009651184,exp1,stampede.tacc.utexas.edu,4096,4096,pilot.0000,rp.session.radical.merzky.017227.0005
23,138.123399973,800.473799944,38.3041000366,0.000800132751465,0.000799894332886,exp1,stampede.tacc.utexas.edu,128,128,pilot.0000,rp.session.radical.merzky.017227.0006
24,150.483200073,801.248699903,34.2402000427,0.000799894332886,0.000800132751465,exp1,stampede.tacc.utexas.edu,256,256,pilot.0000,rp.session.radical.merzky.017227.0007
25,135.682299852,801.218300104,38.5471999645,0.000900030136108,0.000499963760376,exp1,stampede.tacc.utexas.edu,512,512,pilot.0000,rp.session.radical.merzky.017227.0008
26,137.098200083,800.562899828,39.3529000282,0.000999927520752,0.000900030136108,exp1,stampede.tacc.utexas.edu,1024,1024,pilot.0000,rp.session.radical.merzky.017227.0009
27,143.147799969,1024.08759999,40.2578999996,0.000799894332886,0.00110006332397,exp1,stampede.tacc.utexas.edu,2048,2048,pilot.0000,rp.session.radical.merzky.017227.0010
28,148.388000011,1001.09329987,40.3387000561,0.000699996948242,0.000600099563599,exp1,stampede.tacc.utexas.edu,4096,4096,pilot.0000,rp.session.radical.merzky.017227.0011
29,137.17930007,801.435500145,40.2467999458,0.000699996948242,0.000699996948242,exp1,stampede.tacc.utexas.edu,128,128,pilot.0000,rp.session.radical.merzky.017227.0012
30,137.944400072,800.700999975,39.3578000069,0.000900030136108,0.000799894332886,exp1,stampede.tacc.utexas.edu,256,256,pilot.0000,rp.session.radical.merzky.017227.0013
31,139.159500122,801.458899975,35.9753000736,0.000899791717529,0.000600099563599,exp1,stampede.tacc.utexas.edu,512,512,pilot.0000,rp.session.radical.merzky.017227.0014
32,137.656599998,901.340999842,34.6737000942,0.000799894332886,0.000699996948242,exp1,stampede.tacc.utexas.edu,1024,1024,pilot.0000,rp.session.radical.merzky.017227.0015
33,138.536999941,1000.95230007,42.0729000568,0.000699996948242,0.000699996948242,exp1,stampede.tacc.utexas.edu,4096,4096,pilot.0000,rp.session.radical.merzky.017227.0017
34,41358.6321001,800.562599897,44.6679000854,0.000799894332886,0.000699996948242,exp1,stampede.tacc.utexas.edu,128,128,pilot.0000,rp.session.radical.merzky.017233.0002
35,15419.8998001,800.488600016,36.7886998653,0.000800132751465,0.000899791717529,exp1,stampede.tacc.utexas.edu,256,256,pilot.0000,rp.session.radical.merzky.017234.0000
36,85.420800209,3001.84149981,52.505699873,0.00150012969971,0.112699985504,exp1,nid18150.10.128.71.117,256,256,pilot.0000,rp.session.titan-ext1.merzky1.017241.0002
37,92.794200182,3093.43470001,54.2786998749,0.00180006027222,0.115099906921,exp1,nid18401.10.128.72.114,512,512,pilot.0000,rp.session.titan-ext1.merzky1.017241.0003
38,147.740200043,3003.40310001,58.6470000744,0.00169992446899,0.117100000381,exp1,ccs.ornl.gov,4096,4096,pilot.0000,rp.session.titan-ext1.merzky1.017241.0006
